Article,Group,Location_11,Location_21,Location_22,Location_23,Location_32,Location_33,Location_34,Location_35,Location_36,Location_37,Location_41,Location_42,Location_44,Location_45,Location_46,Location_50,Location_51,Location_61,Location_62,Location_64,Location_65,Main Material_BR,Main Material_CM,Main Material_COS,Main Material_CS,Main Material_CSg,Main Material_CcV,Main Material_ChM,Main Material_CtS,Main Material_DG,Main Material_DMa,Main Material_DS,Main Material_EF,Main Material_ExT,Main Material_FR,Main Material_FW,Main Material_GW,Main Material_MS,Main Material_MSW,Main Material_MStr,Main Material_PM,Main Material_RH,Main Material_RS,Main Material_SD,Main Material_SE,Main Material_SM,Main Material_SS,Main Material_VW,Main Material_WGP,Main Material_WS,Main Percentage_Percentage_30to60,Main Percentage_Percentage_below30,Main Percentage_Unknown,Secondary Material_COS,Secondary Material_CS,Secondary Material_ChM,Secondary Material_DG,Secondary Material_ExT,Secondary Material_FR,Secondary Material_FW,Secondary Material_GLR,Secondary Material_GW,Secondary Material_ISS,Secondary Material_LMD,Secondary Material_MS,Secondary Material_MStr,Secondary Material_PM,Secondary Material_RC,Secondary Material_RH,Secondary Material_RS,Secondary Material_SC,Secondary Material_SCL,Secondary Material_SD,Secondary Material_SM,Secondary Material_SMa,Secondary Material_SS,Secondary Material_WS,Secondary Material_nan,2nd Percentage_Percentage_30to60,2nd Percentage_Percentage_below30,2nd Percentage_Unknown,Addives_Type_Com,Addives_Type_Ino,Addives_Type_No Additive,Addives_Type_Org,Addives_Type_Ref,Pretreatment_Type_No Pretreatment,Pretreatment_Type_PhyP,Seed Type_BoC,Seed Type_CCab,Seed Type_CRos,Seed Type_Carr,Seed Type_CorS,Seed Type_Cres,Seed Type_Cucu,Seed Type_ERap,Seed Type_FRad,Seed Type_KomS,Seed Type_Lett,Seed Type_LsL,Seed Type_Pea,Seed Type_RRan,Seed Type_RiSe,Seed Type_SoyS,Seed Type_Toma,Seed Type_WRad,Seed Type_WhSe,Composting Tech_Re,Composting Tech_Tr,Composting Tech_Wd,Volume_Volume_100_to_1000,Volume_Volume_10_to_30,Volume_Volume_1k_to_3k,Volume_Volume_30_to_100,Volume_Volume_3k_to_10k,Volume_Volume_below10,Volume_Volume_huge,Ventilation_In,Ventilation_Tu,Ventilation_nan,TIME,Ambient Temperature,Stack Temperature,pHa,ECa,C/N Ratio,GI Label
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,10,13.29,38.29,8.201,2.297,24.47,62.59
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,11,17.51,33.17,8.199,2.2678,23.806,64.546
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12,18.11,34.68,8.197,2.2386,23.142,66.502
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,13,18.92,33.67,8.195,2.2094,22.478,68.458
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,14,19.02,36.18,8.193,2.1802,21.814,70.414
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,15,16.71,33.47,8.191,2.151,21.15,72.37
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,16,21.02,38.39,8.223,2.1476,20.842,73.888
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,17,20.52,39.1,8.255,2.1442,20.534,75.406
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,18,12.79,37.69,8.287,2.1408,20.226,76.924
Effec62,'CK',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,19,18.11,35.45,8.319,2.1374,19.918,78.442
